,gender,text
0,0,robbie respond critic after win against eddie edward the worldtitleseries sing own rhythm
1,0,felt like they be friend and be live the story with them retire ian the author novel fill with family drama and romance
2,0,absolutely adore when louis start the song hit hard but feel good louis whine and squeal and all
3,0,look the url you use don typically see advanced user the mobile guy er shazam google kleiner perkins yahoo sprint pc airtouch air force stanford gsb uva dad husband brother golfer
4,1,watch neighbour sky catch with the neighbs xxx xxx ricky wilson the best frontman kaiser chiefs the best band xxxx thank you kaiser chief for incredible year gig and memory cherish always xxxxxxx
5,1,ive see people the train with lamps chair tvs etc you don know
6,0,gala bingo club buy for the large high street bingo operator gala be take over the secret get ahead get start
7,1,the pic define all mcd fangirls fanboys and mcd shipper pll fan crazy about mcd ramen bae
8,1,just how lovely the tree this year never see gorgeous this autumn colour renaissance art historian university nottingham fuel haribo partial coffee and with soft spot for renaissance china national teaching fellow
9,1,just put ass the line for you and this how you repay senior xii mmxiv
10,1,will even need sound effect for the diviner tonight just here for burnham and disney world
11,1,glow satisfaction the glow
12,1,lmao dude hella scar for next episode the end yesterday jmkm
13,0,ditto still learn the favourite and retweet stuff least suck less than facebook haha over enthusiastic fan model collector music fan and film fanatic also aspergian
14,0,but don understand how get the server get
15,1,thank you for the retweets artisan specialize paper mache print making and fibre art art teacher and cat devotee find page
16,1,all the girl go sleep and the guy just sit the floor and watch bleed and die take away sin
17,1,the right side xxx union xxxx
18,0,yall lmfaoo right when the chorus come tear roll down his face you have from the start
19,0,james bond premier night the oxted with let hope live expectation spectre bsc economics graduate coys
20,1,except once the hallmark movie start win get anything do wife coach mom eight troop follower christ
21,1,you leave the group chat for more than min and you miss make shit dm close dear moonshine
22,0,oppose pump where like hope you like do jump where you spread your foot across the entire stage writer lewd aspire femboy who enjoy oneechans girlcock and such rts and softcore nsfw account list
23,0,all the magic hath fury base real magick award win author the paranormal romance thriller hath fury technology writer asmsg
24,1,the week brandon birthday there such thing birthday week weirdo november birthday month bow down self proclaimed princess and occasional pain the as
25,0,and get more yard and point than the jet give all season smooty drink alot could worse scroll through your girl nude while watch brady beat your team patsnation suprememeninist alwaysturnt
26,0,do alot the past ion wont back free bros ebk otr real all kno grind wea come from
27,1,this boy be the wit his daughter and they all be under penn state alum classof
28,0,mean not like mainstream new medium suppose feed you the fact nowadays lover woman dog cat dog movie comic video game book wrestle existentialism adult ent
29,0,how many follower you get everyday get the last day grow daily with militante obrero los sue revolucionarios desde toda vida chavista coraz comandante vives pre
30,0,artist the year amas fame baby perfect for you
31,0,mheshimiwa traveller along that stretch the road lubao hurting and nobody seem raise this issue kennedy abulala mwalimu anayeienzi kazi yake mwalimu kiswahili
32,0,greenville thursday yall holla you need anything know the plug krothedj com instagram djkro
33,1,go the wrong nandos but find you eventually chilliesequalsfreenandos slightly ginger with blue eye park run
34,0,cardiff draw with the over match goal sound good just live life the top the food chain
35,1,those who break the rule be scum but those who abandon their friend be bad than scum n ipgkk
36,0,gala bingo club buy for the large high street bingo operator gala be take over home office business be sweet business can you can
37,1,video james bond spectre world premiere after month build spectre the late goodmorning mention anyone retweeet must follow back fav for follow
38,0,best thing about have audition the west side be able eat lunch komodo warholian obsessor create within orwellian nightmare
39,0,discipline the bridge between goal and accomplishment jim rohn
40,0,the last minute that wednesday fan have tweet about time not obsess not even little bit the blade instagram scottryan
41,1,once complete will lift off and attempt connect with the alpha point the rift be observe this control jpn version rayark implosion
42,0,trigger email the killer conversion app just curious guy
43,1,camerons side the bed smell bad like sleep
44,1,be go the one ask question and you get lie
45,0,boii make the wafflw link the reference then the word count should clear lol for any photography booking enquiry call email abphotography com insta photography teamchrist
46,1,the only one who love the part with merlin and regina face ouat bear czech republic live ireland wan na germany ouat oitnb
47,0,always remember never forget you the best and the great the world just be you always you till the end time you you be all that angel could
48,0,the politics evidence result international development look great follow the money open governance fight corruption tweet own
49,1,please god let get house that have fireplace the bedroom have such great idea for such room retire bad girl queen
50,1,that the they have hide umph walk faith not sight
51,1,that nice for this time the year tomorrow they say should around ncisla bone castle arrow chicago fire chicago poi elementary tbbt agent shield grey anatomy the last ship callen mcroll ajax lfc bar rafa nadal
52,0,surgical enhancement be for different part the body and be kid apollo bot pull from both and randomly post every hour spoiler abound under construction progress complete
53,0,swear she touch one more time she piss off stupid cause friend fall for the trick well
54,0,she not beautiful and talk beyond the superficial beauty like the snow beautiful but cold legal drug dealer original extraordinary and psychic you want know good talk
55,1,bad day the office but nice catch with wish have more time catch wife tidy boy amadeus director the ideal place and proud mother max mozart
56,1,james walter invent the bolt action rifle liquor sexual intercourse and football that order lie get halfway around the world before the truth have chance get its pant
57,0,say the one the eternal doesn have kid nor do anyone have him there nothing like the one lover the truth seeker knowledge
58,0,now change not the same man once yesterday for the good watch amp take note why chase trend when you can make statement hoodlyfe
59,1,amaze see igbo village the united state america calm and collect followbackandsee
60,1,alarm wont work you can time the stop leeds too much traffic ect min bus ride can take min know artist evaluate life radiation oncology student want make difference comedian rule breaker live drawz
61,1,akinator the genie app just guess that be think katniss everdeen daughter what how name angela but most friend call angie have very boring life consist college work have nothing post for bio
62,0,try unbrick kindle fire with red screen follow your youtube video and use the unbrick tool repair all make and model phone tablet player more be professionally repair electronic equipment since
63,0,you say someone like wale meek wiz have get big the past five year you moron they be big the mixtape game sportswriter cigar lover dreamer pro writer for ambassador and suffer yankee net jet fan fau
64,1,move the week double leg stretch charity volunteer
65,1,you be support the father the sequester for speaker cut vet pension military medicare shame you
66,0,reimagining the webdesign process maker conceptor creative developer xbac conception geek dev agile neutralite opensource privacy copyright
67,0,clemson only need stack the line against fsu then they may not even score calm and cool
68,1,can see now that there way go resist this shattered empire business the noto cover alone retro modernist suffer from unsightly visibility
69,0,chris chan have the fame doctorate physic time olympic swim gold medalist and professional liar
70,1,the accuracy though lol only trust people that like big butts they can not lie
71,0,weakkkkk tbh thats the only way shut down girl who flex dont take tweet serious and you shrug shit happens look link and pin have reason here now
72,1,thanks the aca more adult be eligible for medicaid illinois amp able apply online community outreach medicaid manage care board member united way chicago gerontology advocate for underserved community isu alumnus
73,1,ibmsocialbiz the future there will narrow the gap people ability use tool proficiently jennifermcclure hchat ventas digitales ibm espa toda mis opiniones son personales la hay todos los colores tambi puedes contactarme
74,0,chris get the black toe freeza ripnazerah
75,1,the day after his wedding anniversary suck suck
76,1,when you mins early advising appointment but the bitch before you go over min you catalyst your happiness
77,1,sissy wife love the choose lingerie very important role for sissy
78,0,knew guy who be the military who use because doesn show drug test idiot from baltimore who think funny
79,0,mom listen hello what happen the world computer engineer khalifa university
80,1,ion work one job work the other study dillard university williams
81,1,lrt work allllllllllllllll the time leonel dominic
82,1,flexible diet plan reveal for the first time secret method for lose weight without have give how quit pay for expensive medical visit and fake fix and eliminate his frustrate nagging and constantly repeat low back pain
83,0,total loss respect for the little twat bear london grow basildon live cornwall most that sea make sense but that fine
84,0,need his own intro for when you pick the phone clifford ellis the great brocker the world lmfao just sign myself
85,0,fortune favor the funny guatemala election journalist and producer with always open spicy taco view be own endorsement duh
86,0,actually the announcement seem like could relate that
87,1,would the affair easy watch the kid weren such brat spoilers the showtime series the affa your brain that bodily organ which start work the moment you awake and do not stop until you get into the class
88,1,nbd this comet spew gallon wine space scientist have discover that the comet lovejoy spew online gist entertainment news music videos event celebrity focus interview life style fashion videodirector
89,0,stats for the day have arrive new unfollower stats via hollow heart
90,1,vivienleigh go with the wind clark gable vivien leigh photo film actress hurt let sometimes seem the harder you try hold something someone the more want get away
91,1,good seeing you tonight enjoy the film
92,0,kaito song about chasing after idealized version himself but the real world alone starmyu magnificent fujoshi scum
93,1,photo the fellowship the ring book one the lord the ring just girl love with god pole vault lift reading and horseback riding be passion country love small town girl
94,1,kept tell myself the temptation would let and they do some day want world peace other day want burn the world down
